category,comments,hotness,link,percentage_change_in_price,place_of_bargain_price,price_after_discount,price_before_discount,title,username
"Home,Ogród i majsterkowanie,Ogród,Baseny",11,202,,-40%,Allegro,"189,99zł",319zł,Allegro Days: Basen stelażowy Bestway Safari 305x66cm,
"Home,Artykuły spożywcze,Jedzenie",18,196,,-21%,Kaufland,"0,26zł","0,33zł",Bułka Kajzerka po 26 groszy @Kaufland 4+1 GRATIS,
"Home,Różne,Supermarket",20,308,,-1,Biedronka,"0,99zł",-1,Wyprzedaż wybranych słodyczy wielkanocnych Magnetic np Jajka czekoladowe w Torbie 176g za 1.99zł@ Biedronka,
"Home,Usługi i subskrypcje,Szkolenia i kursy",17,564,,-1,place_of_bargain_price_not_available,-1,-1,Bezpłatny webinar/szkolenie on-line: Agresja lękowa - jak pomóc psu rozwiązać ten problem?,
"Home,Ogród i majsterkowanie,Narzędzia",21,234,,-32%,Allegro,299zł,440zł,Zestaw kluczy nasadowych Yato YT-38841 216 elementów,
"Home,Zdrowie i uroda,Erotyka,Zabawki erotyczne",136,211,,-1,AliExpress,"224,99zł",-1,Męski masturbator ładowany przez USB,
"Home,Gaming,Xbox",122,1304,,-1,Eneba,"131,49zł",-1,12 miesięcy Xbox Live Gold (bez VPN! konwersja na Game Pass Ultimate) @ Eneba,
"Home,Gaming,Xbox",15,286,,-1,Game Expert,99zł,-1,KONTROLER NOŻNY 3DRUDDER PLAYSTATION VR/Xbox/PC,
"Home,Elektronika,Komputery i tablety,Podzespoły komputerowe,Procesory,Procesory AMD",28,340,,-14%,Amazon.es,781zł,913zł,"Procesor AMD Ryzen 5800X z Hiszpańskiego Amazona za 169.99 Euro plus wysyłka 4,17€",
"Home,Podróże,Bilety kolejowe i autobusowe",1,382,,-1,place_of_bargain_price_not_available,ZA DARMO,"3,80zł",Świnoujście – Bądźmy razem – bezpłatny przejazd autobusami na trasie Dworzec PKP – plaża przy podziemnym mieście,
"Home,Elektronika,Oprogramowanie i aplikacje,Oprogramowanie,Aplikacje,Aplikacje do tworzenia muzyki",5,208,,-1,Ghosthack.de,-1,-1,Darmowe Sample - Ghosthack - Ultimate Freebie Collection (1.95gb),
"Home,Różne,Supermarket",19,1139,,-40%,Lidl,"2,99zł","4,99zł","Serek wiejski naturalny/lekki - 2,99 zł/op. 500g (5,98 zł/kg) @Lidl",
"Home,Elektronika,Audio i HiFi,Słuchawki",24,199,,-1,AliExpress,"381,77zł",-1,"Słuchawki planarne Hifiman HE400se $87.3 (381,77 zł)",
"Home,Motoryzacja,Akcesoria samochodowe",40,205,,-1,Allegro,"7,99zł",-1,Odświeżacz do klimatyzacji Autoland 200ml,
"Home,Zdrowie i uroda,Higiena i pielęgnacja,Higiena jamy ustnej,Szczoteczki",31,255,,-19%,Allegro,"59,99zł","73,99zł",Szczoteczka soniczna Berdsen Sonica B5 + dwie końcówki,
"Home,Za darmo",17,531,,-1,place_of_bargain_price_not_available,-1,-1,Darmowe półkolonie dla 108 dzieci z gminy Białe Błota,
"Home,Elektronika,Komputery i tablety,Podzespoły komputerowe,Obudowy komputerowe",32,418,,-20%,ProLine,299zł,372zł,Obudowa be quiet! Pure Base 500 BG034,
"Home,Elektronika,Akcesoria komputerowe",22,313,,-37%,Amazon.pl,"87,29zł","139,57zł","Usoun Stojak pod laptopa, regulowana podstawka pod notebooka, ergonomiczny stojak na biurko, regulowany, kompatybilny z laptopami 10-17""",
"Home,Moda,Obuwie,Sandały",7,307,,-33%,Decathlon,"59,99zł","89,99zł",Sandały turystyczne dla dzieci Quechua MH120 z darmową dostawą - r. 28 - 39 @Decathlon,
"Home,Artykuły spożywcze,Napoje,Piwo",29,538,,-1,Dino,"1,75zł",-1,"Piwo Browarne Pils 0,5l - przy zakupie 20 sztuk dodatkowo Zamkowe po 2,19",
"Home,Moda,Obuwie",20,491,,-1,eobuwie,-1,-1,-20% dodatkowo na buty ASICS z kuponem TANIEJ20 @ eobuwie.pl,
"Home,Za darmo",7,205,,-1,place_of_bargain_price_not_available,-1,-1,"Native Instruments, Kontakt: IRLANDZKA HARFA vst za free!",
"Home,Internet i usługi telekomunikacyjne,Oferty komórkowe",20,271,,-1,Orange,-1,-1,Orange na kartę - 20GB za darmo na 20 dni,
"Home,Kultura i rozrywka,Książki i czasopisma,Książki,Audiobooki",31,277,,-1,BookBeat,-1,-1,50 dni z audiobookami za darmo,
"Home,Ogród i majsterkowanie,Ogród",38,220,,-1,Einhell,169zł,-1,"PODKASZARKA Einhell GC-CT 18/24 Li P (2,5Ah ZS)",
"Home,Moda,Odzież,Koszulki",19,293,,-1,Zalando,37zł,-1,Koszulki YOURTURN - 2 PACK UNISEX,
"Home,Moda,Akcesoria modowe,Zegarki",19,226,,-8%,Allegro,"961,28zł",1.049zł,Zegarek Casio G-Shock GW-9400-1ER,
